geneID	HS01	HS02	HS03	HS04	HS05	CL08	CL10	CL11	CL12	CL13
LIPM	4.699200752549417	4.398193671449727	3.971681996912894	4.412865886320302	4.364262138073072	3.4571440616248355	-1.7930205001098534	1.1350023579770347	0.8572302931075486	1.924605319832556
LL0XNC01-131B10.2	2.6778340239845737	2.0253389396845645	1.6769978785765935	2.1757883293096207	1.4189965617502613	0.45473925511240304	-4.45077756559828	-2.6580956421330613	-1.842570965396042	0.007259519710042984
LMNB1	4.197639768143885	3.772164025949569	3.460899366146605	3.358737630855111	5.186122770272505	5.740985713938959	6.084890149246049	6.441501017264744	6.844769985388514	6.056028306308008
LMO1	1.5265995206667178	0.6199318740645618	1.295870801016734	1.2884372433763804	1.5670138869007957	-1.5999143069235893	-4.072379993412406	-4.183272613037187	-3.09043810456452	-0.8473672332350904
LMO3	0.6775489961423802	1.3948784082037364	3.9397683171609885	2.7025133526261187	3.372718401355544	-1.0718104153212173	-0.10281282142570328	-1.941995569896276	-1.1253181513178279	-0.9916852479039433
LMOD1	4.576976259649479	6.034871558549212	6.301075251880085	6.0274292122961395	5.236593768515647	3.8086814211207907	4.742188934831724	1.4753890015687072	2.580006063103312	2.984654007300556
LNX1	6.409978350092628	6.144675646090784	5.775927275051671	5.766695609990545	6.47118410964089	5.5564053200159504	1.5067158508140397	3.747622230719724	3.3633914285583923	3.4471020011394105
LONRF2	3.9385090384691432	3.3570998561507563	3.7231610737318594	3.468461148968875	3.3789463988368893	0.6718530322568236	0.875342023524698	0.8945481400889834	0.6483626819320567	0.8071333227673727
LPL	1.6434660381279047	3.686052278566117	4.772986429725291	3.937461271191889	4.881491115609971	1.6878266538769193	1.18739876010603	-0.5034014632595427	-0.3514204864892355	-0.832124848300231
LPXN	2.443240511506398	3.2812695898825974	2.970537535680914	3.0776530195891194	2.651653236635249	6.325290773112539	6.401431666808013	7.083561000374799	7.101071913637367	6.789237940388655
LRIT2	0.05448286900382253	1.6833598910765761	0.8819787918280652	0.9526440232012953	0.4164348225189426	-3.9679528448172965	-6.027984248220351	-6.120370631608461	-6.35013157965637	-3.9996564936757086
LRMP	2.5330497117338924	3.118829214749045	2.8939787107774957	3.1705013493029908	2.6353903055415318	4.803798819192284	5.123242359459127	5.349170688483275	5.651462992549829	4.833143269121806
LRP1B	3.1106379040914174	3.4482502089967233	4.873068737486679	3.5203571195928474	3.220640284952881	0.9182831472048008	0.820508199609549	-2.15093439161468	-1.2329151609330427	-1.474973736898321
LRP4	7.222285450092334	6.960408971970154	7.0861560536939425	6.89391539769297	7.623298230880206	3.025680747113338	2.1547551690784887	1.5281418535006068	0.9253108643741854	2.5991117592097277
LRP5	5.284594996948156	5.662230025110928	5.874090436899055	5.745925632557526	5.79505239339901	3.7599314561524917	4.180060879222095	2.4300553903822415	2.833598300164106	3.446722311284994
LRP6	6.762516601926329	6.589372515592575	6.899686810441935	6.8221745818196595	7.072024881085053	4.59469716864537	5.2003874102153445	3.6599002268172818	3.6555541778663527	4.7203887083368645
LRRC15	6.275341958031509	3.8707147061195952	3.06820441951672	3.646962733895475	5.843823016527835	7.297428501620266	7.048572966757118	6.536650379610256	6.387447193580887	7.050647815641349
LRRC25	0.7619928158817622	1.7739849565669166	1.7627407322975461	2.2032768853119307	1.0243868328168313	5.061944594394756	5.5450744219035935	5.3684553970177	5.661957790014848	5.623908639062164
LRRK2	5.565809639769722	5.432540704909758	5.908175249556123	5.500256141283461	5.111745514683944	7.111317619766609	8.306738512113943	8.354142144685266	8.255812205777925	8.306787452002252
LRRN1	3.13122044903095	2.987427509030248	3.5415612707233133	2.7999389574750047	0.12077852715309993	0.6023235938475688	-0.2241855246340045	0.23944558476366837	0.017418660620109036	0.5853165415799526
LST1	1.4988516650814563	3.0553442813417657	2.3087532081618685	2.686900640580582	1.8724969965406795	5.730669694439238	5.50734389468329	5.516674399089892	5.8432776237990955	5.556543975276032
LTA	-3.2468576773153313	-2.598082429820004	-3.362132592083726	-3.5205364009015447	-2.222328138948477	1.3301208890589382	1.0904246912740732	1.1076180167464535	1.2977581594127656	0.9863468898699199
LTB	0.27923860623851987	1.445840630560174	0.6046344846459006	0.78579501975054	2.0767962727847538	4.6764089875477755	4.4320304223575535	4.339927697212239	4.423038457838543	4.781351523636319
LUM	6.524539888498593	7.616818654514205	7.389897809563245	8.817151625191604	7.180415008163733	11.04333186934748	10.422927787296873	9.396508699826256	10.4407485577313	9.433849221964127
LY6K	3.1362676195938084	2.469158982670073	2.4718109387960134	2.469963646120967	0.8807320163428206	1.6928578764555646	0.8141847958077839	0.3962295380825156	0.5005681127202115	-1.8805271345805947
LY86	0.21654260904729067	1.171723739315545	0.04609456808795098	1.135102009635652	0.12414596950165743	4.800374463180832	4.540624862090357	4.587277760125058	4.988939963684179	4.461693381803957
LY9	0.16194773497449255	1.3412701716303765	1.2331339258861858	0.821156392264809	1.3059455508047284	5.269014687607687	4.505412721303116	4.972092447959408	5.223719453450356	3.9174880396081235
LY96	-0.2360263887998364	0.7960964836018896	0.5559798008292214	1.5081569250693616	1.654745321953676	4.0205037897865115	3.7330431539947684	3.992438481604058	4.0464475601742285	3.9359862293006316
LYL1	0.9090032700769557	1.7373153876263687	1.3609554383631335	2.0474703893917154	1.880071974751215	3.7256758330201833	4.130865633442369	4.048956873356176	3.949917730851677	3.629951153481229
LYN	3.6044261068814363	4.394717239656541	4.090443366263727	4.2936574544235055	4.922173282211664	7.184983917173853	7.598841063660203	7.606877186012303	7.747560989526292	8.058754772787196
LYPD1	-0.218753946830872	-0.7487727257202249	-1.0852192168285721	-0.9061603797449351	-0.2618388982985021	1.4293313008843134	2.632610854860213	1.2955512951771717	1.7548989592407704	2.0152041905208553
LYPD2	1.8254002143533874	1.9590354144724615	1.4256936667535536	1.514030849837641	1.4979338004165021	0.35302504348849933	-3.2502146139471355	-0.9290259856512614	-1.9961113361518206	-0.939587180501867
LYPD3	8.373270209782019	7.548234276105115	7.415424571586788	7.297750833354929	7.677658735795264	6.225675747104652	3.496999371409806	3.340398164778252	4.654603646858245	5.871547404426094
LYPD6B	5.481043559889353	5.041124611054285	5.327430421318574	4.850976406733869	4.902087504483774	2.327123180023731	-1.690898682891394	-0.19531485623130176	-0.20924934470435244	0.07619703615382302
LYSMD2	2.1215682278870367	2.101415333691164	2.0696654278300968	2.401890393829787	1.7966076277327403	3.8708346375248155	4.065159285111647	4.731556817416128	4.544647775423995	4.806773086249714
LYVE1	4.208814557001104	5.789152829429443	5.401790417800166	7.121735874858354	6.819310808404973	2.834972250872686	4.817754200031785	4.275520099523365	2.7175958971297485	1.9463020838324192
LYZ	4.713517064000516	7.119942789617562	4.508965822897208	5.454202945117376	5.1863876122267305	12.446151454320553	11.573727280340238	11.214324974757615	12.416935242584096	13.064507933512244
MAB21L3	3.65425079401256	4.0494095600934275	3.758368448065104	4.244890687202006	4.449886249073544	2.1286470389812955	0.906948186312119	0.9654071500235943	1.2608396426872663	2.078203637103638
MACC1	6.275849183359936	6.072901705606646	6.084002047744678	5.343135925580659	5.309348756694828	4.181700482767571	2.6947364096236712	3.2036395270556026	3.704400820722838	3.6278400031128166
MACROD2	4.413110077677245	3.619414095811333	4.546136437013196	3.8985897244828522	2.4693176922815248	0.8687709254410914	1.0446949193949862	1.6535841588164724	0.6291776202667398	1.0421116078995103
MAGI1	6.263156075056143	6.060750823536391	6.369538206268065	5.740700185026057	6.061790607641239	4.056886301625298	3.539544346302181	2.6749585686090986	2.5150952841013496	3.820773833861363
MAL2	8.12277828941672	8.30810211333888	7.539992810853808	7.971023626829961	7.223448140205407	7.24251333122595	3.2216730976845924	4.608912798717145	4.477751131404304	5.820537624179596
MAMDC2	3.9304234792876804	4.7305810830693815	4.478875774067307	5.912511885156817	5.850889627959623	0.3406064876075571	0.36115887743715386	0.7017450603575008	-0.964834419476543	0.9889644783261973
MANSC1	5.976612700149975	5.534731340577787	5.352344275103835	5.251662526372919	4.485803139887098	3.9314660061125797	2.6771882803013902	1.1374299620969337	2.1221637566183023	3.8670700106743707
MAOA	6.271294144426449	7.051174397785484	7.746504882092621	7.587397043258015	7.299872089922733	4.331693604234028	4.505603577484061	2.922433262790292	2.7670210683371717	4.05914679984357
MAP2	5.974554225255734	5.895455442543286	6.048533543326972	5.376162369339119	4.938421891494234	3.617198569575902	1.306374763708095	1.8723879488868	2.715648240121672	3.866017881262673
MAP4K1	1.5303044131980965	2.018910238539662	1.923997967999086	2.561574477322947	1.6751233459663897	3.705774622358929	4.171694481987287	4.502952502003839	4.357736020901847	4.0653557787424734
MAP6	3.3948013834508117	2.7741642064859953	3.019703298386467	3.2406261806659007	4.8234539095592766	1.6984571399248392	0.8107893188997203	0.7588012464040867	1.2364365002740816	0.35584607005683183
MAP7	6.525348424320061	6.134629660942293	6.045721131134259	6.072578171795417	5.476658051416562	5.733389825704768	2.8432847362202405	3.558339491595628	3.416567144028651	4.272717485508607
MAP7D2	0.8395497757636894	0.8434426902848658	1.546023133814096	1.5685676398519153	1.3293207610212354	-1.1945216547327717	-1.0404950582835757	-2.073117223577402	-1.368126274928155	-0.1809566334996381
