geneSymbol	HS01	HS02	HS03	HS04	HS05	CL08	CL10	CL11	CL12	CL13
CD14	3.6809384623882884	5.1852478068067125	4.507597617256446	5.425299284012014	6.063909341774156	8.935406098297275	8.941288137691126	8.261836419700689	8.957550597525698	8.927369996316482
TRAV13-1	-6.473443889334508	-3.9279529286958006	-3.352374380366169	-3.5514535327789205	-2.222328138948477	0.4708263129492105	0.5076674789455788	1.1185328244498236	0.5047971170458128	0.37875329296269655
MS4A7	1.0207611499412135	3.4994657840977403	4.011740898858823	4.168729241438738	5.122639499306386	7.577171392155316	7.37497171841167	7.910282901864608	8.080233102318887	7.713656703961246
CSF2RA	2.464848551265709	3.539931964884558	3.9496416030426076	3.782102065355887	4.463283510281818	5.6813631034984216	5.368312428058562	5.601783549592383	5.768461536454047	5.8780363661921715
GIMAP1-GIMAP5	1.3851489774923125	2.1231109775876327	2.1478039481843134	2.9595452139613254	3.5473351005123264	5.241077361625064	5.4835911279812475	5.714471055021437	6.057071870632162	5.3743364888682335
FASLG	-3.6091547899630223	-2.038992025292436	-2.1378947305216083	-0.8887898430175787	0.059234823114560006	2.893067677972103	3.555281245965092	4.584946163970812	4.915066254400777	3.466887202978037
LAT	0.6479454512200269	1.5305878818829834	2.0587990056405987	2.0670442847808217	2.8544329052641872	4.619437268199066	5.115558673633326	5.323680007409056	5.543306633512785	4.652786042034636
IL27	-6.473443889334508	-4.965105387406223	-4.739411485620545	-3.3513613707075356	-2.222328138948477	0.2814808192881487	0.838966886167144	2.3844983333545837	1.4228859221177927	1.1532907681804487
HELZ2	4.230132189343651	4.526606766813671	4.609300732163068	4.949225027764209	5.708511740483388	6.529667795846696	6.661120004422818	7.262591599040501	6.9996105128590935	6.6752374463075
XIRP1	-4.0055803133879335	-3.4912487954037514	-2.6717564100277396	-1.8063062350286867	0.6480027403642945	4.648092890902128	4.658241144883654	6.336686669368862	5.771954032650596	5.645921951172477
RASAL3	0.47845742373010663	0.8139985868570216	1.2914477046494706	1.3510282290224855	2.594119019892529	5.085831761762064	5.0550920881395855	5.967698631583323	5.837968063391738	5.148157002529249
PIK3AP1	3.2763431023230836	4.079711154811195	3.9012059241445116	4.039752829416974	5.6250971915260015	7.884671917776584	8.440361902715672	8.532954989947193	8.8382714656088055	8.50094273187478
ICAM1	2.8105769389193704	3.5586530092156945	3.3689199879433462	3.423952829289915	4.95570592661866	7.673150243329615	8.2876174008468535	8.58789458447084	8.635962570590246	8.197916333191477
NCKAP1L	4.3529906949265005	4.861126460762222	4.971023514034858	5.186530148437121	6.14382437059995	7.929407741301117	8.267339728370516	8.451458586124476	8.654506533079728	8.44776572645095
CCDC88B	2.3617313668588142	2.9564103290195507	2.739500692486294	3.0917717994839284	3.9547783531989045	5.250083692831961	5.8933994225406146	6.1115391030758195	6.157904971258812	5.86367260158049
PSTPIP1	1.1117260071673696	1.963896432806365	1.8056476884671164	2.4049843222682936	3.4638934589490824	4.440356698536431	5.229329813013946	5.201802315235584	5.470585622757947	5.041472281006847
INPP5D	3.9765912015257125	4.368043226446022	4.228610805854141	4.481400221025529	5.133134249358954	6.040151388530018	6.62650620861223	6.416056731687889	6.848066092174671	6.777902383351676
PLCB2	1.9868036058168015	2.423532968487693	2.925385476415803	2.8451492114818286	3.797319612591577	4.813963841841933	6.018830246088617	5.587696890132921	5.488036460990149	5.599946103072176
SYK	5.241057242468118	5.519972959032907	4.727094555654334	5.523918258046553	6.402148613983242	7.562473282436075	7.554996276055336	7.743404943457609	7.999323906695456	7.693413905589904
AGAP2	2.8998765183122215	2.9958722810581913	2.4113759599490963	2.785255671001745	3.685671627979282	5.032771977817066	5.140772933018803	4.902326043521638	5.232360319695223	4.856794159130166
MMP14	7.198872442916227	7.222221304145577	6.993196196837772	7.429852015575808	7.714180325035623	9.141728928376702	9.542458816882181	9.337536168682393	9.545462575210514	9.382392547611909
IGHV6-1	-4.869116220052553	-4.409272511558878	-6.519189817758153	-3.5441259217005543	-2.222328138948477	3.413387798825744	5.260556641131693	4.601404564572213	5.01910431380207	3.943927555626247
CARD9	2.2309016348790816	2.337232721926871	2.113904454717828	2.6434143371909027	2.985788946905735	4.522735224979132	4.5306552396038	4.463784852540276	4.361907231971557	4.4666856000239665
